pose_id,keypoint_id,keypoint_score,keypoint_x,keypoint_y
0,0,0.991852,271.607849,132.627441
0,1,0.850888,273.913971,126.479286
0,2,0.993054,264.640961,126.816139
0,3,0.031119,275.808380,129.718094
0,4,0.993279,245.012115,129.026535
0,5,0.994492,281.034790,164.087891
0,6,0.996512,225.916595,177.532639
0,7,0.968926,294.508270,215.608719
0,8,0.986232,217.688919,226.374893
0,9,0.980632,298.786713,259.909912
0,10,0.985801,209.078247,273.459015
0,11,0.979574,280.867828,266.318665
0,12,0.988943,246.317383,268.695892
0,13,0.978048,278.501801,326.039520
0,14,0.985497,253.694626,328.569763
0,15,0.681035,267.893188,381.064056
0,16,0.828487,255.561462,383.589447
1,0,0.996210,342.810364,143.112198
1,1,0.996458,350.401917,136.837692
1,2,0.831458,341.533295,137.034332
1,3,0.995691,368.479340,139.961777
1,4,0.008867,339.831482,141.778625
1,5,0.996415,386.298737,171.545334
1,6,0.995696,339.513489,173.513641
1,7,0.991657,400.861755,211.353729
1,8,0.874723,329.408569,216.031464
1,9,0.952309,415.291077,247.518036
1,10,0.165259,316.784302,257.568634
1,11,0.991906,380.850616,254.536774
1,12,0.991709,352.417847,257.172455
1,13,0.813562,373.152710,314.820618
1,14,0.722901,367.588531,315.180420
1,15,0.044100,376.219757,369.303680
1,16,0.039373,376.875122,369.333649
